                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84601,                 1.6145,                 1.0658,                0.80231,                0.79043,                0.85049,                 0.7014,                0.69087,                 1.0563,                0.93674,               0.003326,               0.003326,               0.003326
                      2,                0.79483,                 1.0369,                 1.0175,                0.75465,                0.80123,                0.80855,                0.64767,                0.74213,                 1.1989,                0.98202,              0.0065275,              0.0065275,              0.0065275
                      3,                0.81572,                0.95887,                  1.034,                 0.7914,                0.77752,                0.84923,                0.67765,                0.79797,                  0.891,                 1.0099,               0.009597,               0.009597,               0.009597
                      4,                0.81899,                0.90699,                 1.0463,                0.81603,                0.78422,                0.86313,                0.70977,                0.71467,                0.86025,                0.96973,               0.009406,               0.009406,               0.009406
                      5,                0.79179,                0.85132,                 1.0395,                0.81772,                0.79672,                0.87897,                0.72701,                0.70412,                0.72736,                0.98013,               0.009208,               0.009208,               0.009208
                      6,                0.77339,                 0.8124,                 1.0351,                0.79526,                0.81164,                0.84948,                0.70033,                0.70315,                0.82107,                0.98197,                0.00901,                0.00901,                0.00901
                      7,                0.76111,                0.79658,                 1.0322,                0.82126,                0.78258,                0.86803,                 0.7206,                0.68966,                0.73436,                0.97682,               0.008812,               0.008812,               0.008812
                      8,                0.74876,                0.78013,                  1.025,                0.81844,                0.78516,                0.85225,                0.71421,                0.67325,                0.86027,                0.97695,               0.008614,               0.008614,               0.008614
                      9,                0.74088,                0.76828,                 1.0236,                0.83352,                0.81801,                0.88752,                0.74664,                0.65734,                0.67898,                0.97467,               0.008416,               0.008416,               0.008416
                     10,                0.73301,                0.75413,                 1.0211,                0.83758,                0.81164,                0.89881,                0.75648,                0.67103,                0.64745,                0.97321,               0.008218,               0.008218,               0.008218
                     11,                0.72884,                0.74658,                 1.0171,                0.82901,                0.83302,                    0.9,                0.75777,                0.66138,                 0.6447,                0.97711,                0.00802,                0.00802,                0.00802
                     12,                0.72046,                0.74723,                 1.0144,                0.81666,                0.82455,                0.88253,                 0.7444,                0.64624,                0.70652,                0.96597,               0.007822,               0.007822,               0.007822
                     13,                0.71485,                0.73046,                 1.0113,                 0.8376,                 0.8239,                0.90452,                0.76575,                0.63744,                0.60916,                0.95329,               0.007624,               0.007624,               0.007624
                     14,                0.71365,                0.72509,                 1.0111,                0.83319,                0.82757,                0.90091,                0.76477,                0.63356,                0.62929,                0.96371,               0.007426,               0.007426,               0.007426
                     15,                0.70836,                0.72011,                 1.0128,                0.84619,                0.82605,                0.90851,                0.76928,                0.63441,                0.59179,                  0.964,               0.007228,               0.007228,               0.007228
                     16,                0.69855,                0.71502,                 1.0047,                 0.8442,                0.81507,                0.90254,                0.76897,                0.63017,                0.61733,                0.95774,                0.00703,                0.00703,                0.00703
                     17,                0.69665,                0.71293,                 1.0039,                 0.8474,                0.82508,                0.90734,                0.77477,                0.62167,                0.60154,                 0.9531,               0.006832,               0.006832,               0.006832
                     18,                0.69001,                0.70177,                0.99999,                0.84946,                0.82174,                0.91076,                0.77385,                0.61992,                0.58954,                 0.9529,               0.006634,               0.006634,               0.006634
                     19,                0.69214,                0.69767,                 1.0025,                0.85262,                0.81818,                0.90798,                0.77301,                0.62156,                0.59714,                0.95467,               0.006436,               0.006436,               0.006436
                     20,                0.69196,                0.68922,                0.99793,                0.83891,                0.82827,                0.90803,                 0.7767,                0.61846,                0.59475,                0.93383,               0.006238,               0.006238,               0.006238
                     21,                0.68474,                0.68372,                0.99465,                0.85291,                0.81883,                0.90664,                0.77644,                0.61355,                0.59257,                0.94467,                0.00604,                0.00604,                0.00604
                     22,                0.68373,                0.68089,                0.99415,                0.84355,                0.81097,                0.90184,                 0.7707,                0.61321,                0.60435,                0.94339,               0.005842,               0.005842,               0.005842
                     23,                0.67555,                 0.6729,                0.99287,                0.84004,                0.83818,                0.91413,                0.78639,                0.60752,                0.55911,                0.93338,               0.005644,               0.005644,               0.005644
